"Dato";"Kumulativt antall";"Nye tilfeller"
"23.06.2020";8777;13
"24.06.2020";8798;21
"25.06.2020";8815;17
"26.06.2020";8837;22
"27.06.2020";8847;10
"28.06.2020";8848;1
"29.06.2020";8874;26
"30.06.2020";8884;10
"01.07.2020";8892;8
"02.07.2020";8900;8
"03.07.2020";8910;10
"04.07.2020";8912;2
"05.07.2020";8913;1
"06.07.2020";8927;14
"07.07.2020";8937;10
"08.07.2020";8948;11
"09.07.2020";8956;8
"10.07.2020";8969;13
"11.07.2020";8973;4
"12.07.2020";8978;5
"13.07.2020";8997;19
"14.07.2020";9005;8
"15.07.2020";9011;6
"16.07.2020";9015;4
"17.07.2020";9027;12
"18.07.2020";9028;1
"19.07.2020";9031;3
"20.07.2020";9052;21
"21.07.2020";9058;6
"22.07.2020";9080;22
"23.07.2020";9086;6
"24.07.2020";9110;24
"25.07.2020";9116;6
"26.07.2020";9125;9
"27.07.2020";9150;25
"28.07.2020";9166;16
"29.07.2020";9203;37
"30.07.2020";9226;23
"31.07.2020";9298;72
"01.08.2020";9311;13
"02.08.2020";9324;13
"03.08.2020";9362;38
"04.08.2020";9402;40
"05.08.2020";9468;66
"06.08.2020";9546;78
"07.08.2020";9625;79
"08.08.2020";9660;35
"09.08.2020";9694;34
"10.08.2020";9757;63
"11.08.2020";9799;42
"12.08.2020";9862;63
"13.08.2020";9916;54
"14.08.2020";9992;76
"15.08.2020";10035;43
"16.08.2020";10062;27
"17.08.2020";10136;74
"18.08.2020";10193;57
"19.08.2020";10253;60
"20.08.2020";10303;50
"21.08.2020";10356;53
"22.08.2020";10401;45
"23.08.2020";10420;19
"24.08.2020";10487;67
"25.08.2020";10529;42
"26.08.2020";10569;40
"27.08.2020";10620;51
"28.08.2020";10704;84
"29.08.2020";10745;41
"30.08.2020";10796;51
"31.08.2020";10944;148
"01.09.2020";11059;115
"02.09.2020";11160;101
"03.09.2020";11286;126
"04.09.2020";11405;119
"05.09.2020";11478;73
"06.09.2020";11538;60
"07.09.2020";11670;132
"08.09.2020";11783;113
"09.09.2020";11907;124
"10.09.2020";12039;132
"11.09.2020";12157;118
"12.09.2020";12224;67
"13.09.2020";12302;78
"14.09.2020";12405;103
"15.09.2020";12536;131
"16.09.2020";12673;137
"17.09.2020";12789;116
"18.09.2020";12883;94
"19.09.2020";12941;58
"20.09.2020";13018;77
"21.09.2020";13181;163
"22.09.2020";13282;101
"23.09.2020";13425;143
"24.09.2020";13558;133
"25.09.2020";13688;130
"26.09.2020";13750;62
"27.09.2020";13804;54
"28.09.2020";13928;124
"29.09.2020";14038;110
"30.09.2020";14156;118
"01.10.2020";14287;131
"02.10.2020";14421;134
"03.10.2020";14531;110
"04.10.2020";14618;87
"05.10.2020";14823;205
"06.10.2020";15022;199
"07.10.2020";15221;199
"08.10.2020";15388;167
"09.10.2020";15531;143
"10.10.2020";15595;64
"11.10.2020";15672;77
"12.10.2020";15780;108
"13.10.2020";15791;11
